                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4404,                 4.5141,                 4.3921,                0.00186,                 0.2598,                0.00136,                0.00031,                 2.4695,                 12.825,                 3.1189,                0.00012,                0.00012,                0.00012
                      2,                 3.2978,                 4.3014,                 4.1844,                0.00194,                0.27451,                0.00133,                 0.0003,                 2.4684,                 12.846,                 3.1173,             0.00023426,             0.00023426,             0.00023426
                      3,                 3.3518,                 4.6759,                 4.1734,                0.00202,                0.27451,                0.00143,                0.00033,                 2.4674,                  12.91,                 3.1144,              0.0003208,              0.0003208,              0.0003208
                      4,                 3.0892,                 4.3205,                   4.15,                0.00207,                0.28922,                0.00159,                0.00035,                 2.4667,                 12.956,                 3.1113,             0.00037962,             0.00037962,             0.00037962
                      5,                 3.2136,                 4.2248,                  4.058,                0.00211,                0.30392,                0.00185,                0.00039,                  2.467,                 12.822,                 3.1062,             0.00041072,             0.00041072,             0.00041072
                      6,                 3.0808,                  5.103,                 4.0153,                0.00201,                0.28922,                 0.0015,                0.00037,                  2.464,                 12.519,                  3.102,              0.0004141,              0.0004141,              0.0004141
                      7,                 3.1286,                 4.0779,                 3.9337,                0.00193,                0.28431,                0.00175,                0.00044,                 2.4637,                 11.954,                    3.1,             0.00038976,             0.00038976,             0.00038976
                      8,                 3.0697,                 3.7768,                 3.8961,                0.00198,                0.28922,                0.00165,                0.00038,                 2.4646,                 11.624,                 3.1008,              0.0003377,              0.0003377,              0.0003377
                      9,                      3,                 3.8602,                 3.8456,                0.00192,                0.27941,                0.00161,                0.00038,                 2.4631,                 11.172,                 3.1007,             0.00025792,             0.00025792,             0.00025792
                     10,                 2.9996,                 4.0196,                 3.8449,                0.00203,                0.28922,                0.00174,                0.00041,                 2.4538,                 11.124,                 3.0944,             0.00015042,             0.00015042,             0.00015042
